"Squad","Player","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"Manchester Utd","Casemiro",7,6,0,3,8,7,53.3
"Manchester Utd","Matheus Cunha",4,14,1,11,3,17,15
"Manchester Utd","Diogo Dalot",5,1,2,15,4,2,66.7
"Manchester Utd","Amad Diallo",3,11,4,6,0,7,0
"Manchester Utd","Patrick Dorgu",10,19,3,18,16,15,51.6
"Manchester Utd","Bruno Fernandes",7,18,0,35,6,10,37.5
"Manchester Utd","Ayden Heaven",0,0,0,0,1,2,33.3
"Manchester Utd","Senne Lammens",0,0,0,0,2,0,100
"Manchester Utd","Matthijs de Ligt",5,4,0,4,27,20,57.4
"Manchester Utd","Harry Maguire",4,0,0,0,14,6,70
"Manchester Utd","Kobbie Mainoo",1,1,1,2,1,6,14.3
"Manchester Utd","Noussair Mazraoui",2,3,0,5,2,1,66.7
"Manchester Utd","Bryan Mbeumo",5,13,2,41,1,25,3.8
"Manchester Utd","Mason Mount",4,3,0,3,4,4,50
"Manchester Utd","Benjamin Šeško",9,2,1,0,25,26,49
"Manchester Utd","Luke Shaw",9,1,0,1,13,8,61.9
"Manchester Utd","Manuel Ugarte",9,4,0,0,6,2,75
"Manchester Utd","Leny Yoro",4,0,0,1,14,6,70
"Manchester Utd","Joshua Zirkzee",0,1,0,1,4,8,33.3
"Newcastle Utd","Harvey Barnes",3,6,1,17,1,0,100
"Newcastle Utd","Sven Botman",5,0,0,0,14,10,58.3
"Newcastle Utd","Dan Burn",17,6,0,6,30,30,50
"Newcastle Utd","Anthony Elanga",0,9,0,34,3,7,30
"Newcastle Utd","Anthony Gordon",7,12,1,11,4,2,66.7
"Newcastle Utd","Bruno Guimarães",19,25,1,5,5,13,27.8
"Newcastle Utd","Lewis Hall",1,4,0,7,1,1,50
"Newcastle Utd","Joelinton",8,8,0,1,13,11,54.2
"Newcastle Utd","Jamaal Lascelles",0,0,0,0,1,0,100
"Newcastle Utd","Valentino Livramento",3,8,0,13,3,1,75
"Newcastle Utd","Lewis Miley",0,0,1,1,4,1,80
"Newcastle Utd","Jacob Murphy",0,2,1,27,3,1,75
"Newcastle Utd","William Osula",13,1,0,0,4,7,36.4
"Newcastle Utd","Nick Pope",0,0,0,0,7,0,100
"Newcastle Utd","Jacob Ramsey",0,0,0,3,0,1,0
"Newcastle Utd","Fabian Schär",5,3,0,2,16,6,72.7
"Newcastle Utd","Malick Thiaw",4,2,0,1,21,8,72.4
"Newcastle Utd","Sandro Tonali",3,9,0,29,1,3,25
"Newcastle Utd","Kieran Trippier",11,6,0,40,9,5,64.3
"Newcastle Utd","Joe Willock",2,1,0,0,0,2,0
"Newcastle Utd","Nick Woltemade",6,9,1,1,8,16,33.3
"Nott'ham Forest","Ola Aina",5,3,0,13,4,2,66.7
"Nott'ham Forest","Elliot Anderson",9,19,1,35,10,10,50
"Nott'ham Forest","Taiwo Awoniyi",2,2,0,0,0,3,0
"Nott'ham Forest","Dilane Bakwa",3,4,0,13,0,1,0
"Nott'ham Forest","Jair Cunha",0,0,0,0,1,0,100
"Nott'ham Forest","Nicolás Domínguez",2,0,0,0,0,0,NA
"Nott'ham Forest","Morgan Gibbs-White",8,10,1,10,8,9,47.1
"Nott'ham Forest","Callum Hudson-Odoi",3,3,1,33,0,2,0
"Nott'ham Forest","Omari Hutchinson",1,0,1,10,0,0,NA
"Nott'ham Forest","Igor Jesus",5,1,0,1,6,5,54.5
"Nott'ham Forest","Arnaud Kalimuendo",1,0,0,2,3,1,75
"Nott'ham Forest","Douglas Luiz",1,3,0,5,0,0,NA
"Nott'ham Forest","James Mcatee",2,3,0,4,1,2,33.3
"Nott'ham Forest","Nikola Milenković",3,4,0,0,17,13,56.7
"Nott'ham Forest","Morato",8,4,0,0,5,3,62.5
"Nott'ham Forest","Murillo",4,2,0,1,3,2,60
"Nott'ham Forest","Dan Ndoye",5,6,0,20,2,4,33.3
"Nott'ham Forest","Ibrahim Sangaré",8,2,0,3,4,7,36.4
"Nott'ham Forest","Nicolò Savona",2,1,0,3,0,2,0
"Nott'ham Forest","Matz Sels",0,0,0,0,1,1,50
"Nott'ham Forest","Jota Silva",0,1,0,1,0,1,0
"Nott'ham Forest","Neco Williams",11,12,1,43,11,8,57.9
"Nott'ham Forest","Chris Wood",5,4,3,1,11,19,36.7
"Nott'ham Forest","Ryan Yates",4,1,0,0,6,1,85.7
"Nott'ham Forest","Oleksandr Zinchenko",1,2,1,9,2,5,28.6
"Sunderland","Simon Adingra",5,3,3,12,3,5,37.5
"Sunderland","Omar Alderete",6,2,0,4,17,18,48.6
"Sunderland","Daniel Ballard",5,7,0,0,27,15,64.3
"Sunderland","Brian Brobbey",1,3,1,0,3,6,33.3
"Sunderland","Habib Diarra",4,1,0,8,3,2,60
"Sunderland","Lutsharel Geertruida",1,0,0,0,1,3,25
"Sunderland","Marc Guiu",0,0,0,0,1,4,20
"Sunderland","Trai Hume",3,9,0,32,25,18,58.1
"Sunderland","Wilson Isidor",6,3,4,0,8,19,29.6
"Sunderland","Enzo Le Fée",8,7,0,12,2,9,18.2
"Sunderland","Reinildo Mandava",6,13,0,6,11,7,61.1
"Sunderland","Arthur Masuaku",3,0,0,8,1,0,100
"Sunderland","Eliezer Mayenda",3,3,1,0,5,11,31.3
"Sunderland","Nordi Mukiele",5,6,1,7,21,10,67.7
"Sunderland","Dan Neil",0,1,0,0,0,1,0
"Sunderland","Chris Rigg",2,2,0,0,1,3,25
