"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Aston Villa","Pau Torres",3,346,0,0,0,0,0,0,0.1,0.1,0,0.1,7,19,2,0,0,0,0,0,0.03,0,0.03,0.03,0,2,0,0,0.52,0,0,NA,12.9,238,266,89.5,0,0.2,0,0,17,0,0,19,7,5,2,3,10,16,0,0,0,0,0,7,8,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Ollie Watkins",7,628,1,0,1,1,0,0,1.6,1.6,0.4,2,12,8,45,0.14,0,0.14,0.14,0.14,0.23,0.05,0.28,0.23,1,12,3,25,1.72,0.43,0.08,0.33,12.8,77,107,72,0.4,0.2,-0.4,4,4,1,0,8,4,2,5,2,6,3,0,4,9,6,2,9,16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Tyler Adams",8,693,0,0,0,0,0,0,0.1,0.1,0,0.2,3,33,6,0,0,0,0,0,0.02,0.01,0.02,0.02,0,6,4,66.7,0.78,0.52,0,0,22.6,323,386,83.7,0,0.2,0,1,33,0,0,33,23,12,13,15,38,16,0,9,8,1,0,5,10,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Amine Adli",1,167,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,5,18,0,0,0,0,0,0.06,0.1,0.15,0.06,0,2,2,100,1.08,1.08,0,0,23.7,55,79,69.6,0.2,0.1,-0.2,4,1,1,0,5,11,3,5,2,13,5,0,4,6,0,7,4,5,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","David Brooks",6,454,0,1,1,0,0,0,0.9,0.9,1.4,2.3,15,16,46,0,0.2,0.2,0,0.2,0.17,0.28,0.45,0.17,0,13,3,23.1,2.58,0.59,0,0,18.3,145,210,69,1.4,1.3,-0.4,7,15,6,4,16,6,5,5,2,8,5,0,5,5,1,28,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Ryan Christie",1,177,1,0,1,1,0,0,0.8,0.8,0,0.9,4,12,5,0.51,0,0.51,0.51,0.51,0.43,0.01,0.44,0.43,1,5,1,20,2.54,0.51,0.2,1,19.4,75,102,73.5,0,0.1,0,1,17,1,0,12,6,2,3,3,9,6,0,7,6,0,5,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Lewis Cook",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,3,4,75,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Bafodé Diakité",7,630,0,0,0,0,0,0,0,0,0.1,0.1,1,19,2,0,0,0,0,0,0,0.02,0.02,0,0,0,0,NA,0,0,NA,NA,NA,319,361,88.4,0.1,0.1,-0.1,3,24,0,0,19,8,6,7,7,15,49,1,3,2,1,0,22,18,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Evanilson",7,616,1,0,1,1,0,0,1.3,1.3,0.8,2,4,7,21,0.15,0,0.15,0.15,0.15,0.18,0.11,0.3,0.18,1,15,4,26.7,2.19,0.58,0.07,0.25,12.2,89,106,84,0.8,0.3,-0.8,9,3,3,0,7,1,1,4,0,1,6,0,4,10,7,1,9,24,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Ben Gannon-Doak",0,46,0,1,1,0,0,0,0.1,0.1,0.6,0.7,2,1,5,0,1.96,1.96,0,1.96,0.17,1.12,1.29,0.17,0,1,0,0,1.96,0,0,NA,14.5,12,14,85.7,0.6,0.1,0.4,1,0,1,0,1,1,0,1,1,2,0,0,0,1,0,1,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","James Hill",2,276,0,0,0,0,0,0,0.1,0.1,0,0.1,3,17,8,0,0,0,0,0,0.04,0,0.04,0.04,0,2,1,50,0.65,0.33,0,0,22.6,96,146,65.8,0,0.2,0,0,15,3,0,17,4,3,3,6,10,16,0,4,2,0,6,12,3,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Álex Jiménez",3,225,0,0,0,0,0,0,0.1,0.1,0.1,0.1,11,11,4,0,0,0,0,0,0.03,0.02,0.05,0.03,0,2,0,0,0.8,0,0,NA,21.7,104,129,80.6,0.1,0.1,-0.1,1,7,2,1,11,7,5,4,1,8,5,0,4,2,0,4,3,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Eli Junior Kroupi",1,98,3,0,3,3,0,0,1.3,1.3,0,1.3,1,0,5,2.76,0,2.76,2.76,2.76,1.21,0,1.21,1.21,3,5,4,80,4.59,3.67,0.6,0.75,13.1,16,29,55.2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth","Hamed Junior Traorè",0,17,0,1,1,0,0,0,0,0,0.2,0.2,0,0,0,0,5.29,5.29,0,5.29,0,1.1,1.1,0,0,0,0,NA,0,0,NA,NA,NA,2,3,66.7,0.2,0,0.8,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
